material;season;brand;style;name;characteristics;composition;gender;department;category;type;site;noimages;comment;status
EDYFB03095-KVJ0;253;dcshoes;EDYFB03095;Dive In - Joggers for Men;"__Fabric:__ Scuba fleece Cotton Polyester Elastane blend
Relaxed fit
Welted side seam pockets and back patch pocket
Encased elastic waistband
Large print on left leg
DC silicon patch at left leg.";[Main Fabric] 57% Cotton, 38% Polyester, 5% Elastane;Men;Apparel;Outer Layer;Fleece Bottom;NEW;false;;
ADYFT03389-KRDH;253;dcshoes;ADYFT03389;Baseline - Full Zip Hoodie for Men;"__Fabric:__ Lightweight Cotton, Recycled Cotton, and Recycled Polyester Brushed Fleece [230 g/m2]
__Fit:__ Standard Fit
__Pockets:__ Kangaroo Pocket
Herringbone Back Neck Tape
Embroidery on Left Chest
Small DC Logo Print on Bottom Left Sleeve
Buttonholes and Round Drawcords with Branded Metal Tipping
CF SAB Generic #5 Zipper
DC RE/SOLVE Trim Package.";[Main Fabric] 50% Cotton, 25% Recycled Cotton, 25% Recycled Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
ADYFT03389-KVJ0;253;dcshoes;ADYFT03389;Baseline - Full Zip Hoodie for Men;"__Fabric:__ Lightweight Cotton, Recycled Cotton, and Recycled Polyester Brushed Fleece [230 g/m2]
__Fit:__ Standard Fit
__Pockets:__ Kangaroo Pocket
Herringbone Back Neck Tape
Embroidery on Left Chest
Small DC Logo Print on Bottom Left Sleeve
Buttonholes and Round Drawcords with Branded Metal Tipping
CF SAB Generic #5 Zipper
DC RE/SOLVE Trim Package.";[Main Fabric] 50% Cotton, 25% Recycled Cotton, 25% Recycled Polyester;Men;Apparel;Outer Layer;Fleece Top;C/O;false;;
ADYFT03390-BSW0;253;dcshoes;ADYFT03390;Baseline - Hoodie for Men;"__Fabric:__ Lightweight Cotton, Recycled Cotton, and Recycled Polyester Brushed Fleece [230 g/m2]
__Fit:__ Standard Fit
__Pockets:__ Kangaroo Pocket
Herringbone Back Neck Tape
Embroidery on Chest
Small DC Logo Print on Bottom Left Sleeve
Buttonholes and Round Drawcords with Branded Metal Tipping
DC RE/SOLVE Trim Package.";[Main Fabric] 50% Cotton, 25% Recycled Cotton, 25% Recycled Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
ADYFT03390-KVJ0;253;dcshoes;ADYFT03390;Baseline - Hoodie for Men;"__Fabric:__ Lightweight Cotton, Recycled Cotton, and Recycled Polyester Brushed Fleece [230 g/m2]
__Fit:__ Standard Fit
__Pockets:__ Kangaroo Pocket
Herringbone Back Neck Tape
Embroidery on Chest
Small DC Logo Print on Bottom Left Sleeve
Buttonholes and Round Drawcords with Branded Metal Tipping
DC RE/SOLVE Trim Package.";[Main Fabric] 50% Cotton, 25% Recycled Cotton, 25% Recycled Polyester;Men;Apparel;Outer Layer;Fleece Top;C/O;false;;
ADYFT03390-SFRH;253;dcshoes;ADYFT03390;Baseline - Hoodie for Men;"__Fabric:__ Lightweight Cotton, Recycled Cotton, and Recycled Polyester Brushed Fleece [230 g/m2]
__Fit:__ Standard Fit
__Pockets:__ Kangaroo Pocket
Herringbone Back Neck Tape
Embroidery on Chest
Small DC Logo Print on Bottom Left Sleeve
Buttonholes and Round Drawcords with Branded Metal Tipping
DC RE/SOLVE Trim Package.";[Main Fabric] 50% Cotton, 25% Recycled Cotton, 25% Recycled Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
ADYFT03416-GTP0;253;dcshoes;ADYFT03416;Hampden - Hoodie for Men;"__Fabric:__ Lightweight Cotton/Polyester French Terry [260 g/m2]
__Fit:__ Standard Fit
__Pocket:__ Kangaroo Pocket
Self Lined Hood
Jersey Back Neck Tape
Buttonholes and Round Drawcord with Knotted Ends
Print on Chest
DC Trim Package.";[Main Fabric] 80% Cotton, 20% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
ADYFT03416-SFRH;253;dcshoes;ADYFT03416;Hampden - Hoodie for Men;"__Fabric:__ Lightweight Cotton/Polyester French Terry [260 g/m2]
__Fit:__ Standard Fit
__Pocket:__ Kangaroo Pocket
Self Lined Hood
Jersey Back Neck Tape
Buttonholes and Round Drawcord with Knotted Ends
Print on Chest
DC Trim Package.";[Main Fabric] 80% Cotton, 20% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
ADYFT03423-BRQ0;253;dcshoes;ADYFT03423;DC 1994 - Hoodie for Men;"__Fabric:__ Heavy weight cotton fleece [450 g/m2]
__Fit:__ Standard fit
__Pockets:__ Kangaroo pocket
Herringbone back neck tape
Buttonholes and rounded drawcord with DCSHOECO branded metal tips
DC black label at left chest
Embroidery at left sleeve hem
DC 1994 trim package.";[Main Fabric] 60% Cotton, 40% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
ADYFT03423-NQV0;253;dcshoes;ADYFT03423;DC 1994 - Hoodie for Men;"__Fabric:__ Heavy weight cotton fleece [450 g/m2]
__Fit:__ Standard fit
__Pockets:__ Kangaroo pocket
Herringbone back neck tape
Buttonholes and rounded drawcord with DCSHOECO branded metal tips
DC black label at left chest
Embroidery at left sleeve hem
DC 1994 trim package.";[Main Fabric] 60% Cotton, 40% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03547-BSW0;253;dcshoes;EDYFT03547;Varsity - Sweatshirt for Men;"__Fabric:__ Heavyweight cotton/polyester fleece [330 g/m2]
Standard fit
Rib cuffs
Chenille embroidery on chest
Herringbone back neck tape
DC trim package.";[Main Fabric] 80% Cotton, 20% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03547-KVJ0;253;dcshoes;EDYFT03547;Varsity - Sweatshirt for Men;"__Fabric:__ Heavyweight cotton/polyester fleece [330 g/m2]
Standard fit
Rib cuffs
Chenille embroidery on chest
Herringbone back neck tape
DC trim package.";[Main Fabric] 80% Cotton, 20% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03548-CQF0;253;dcshoes;EDYFT03548;Patch It - Sweatshirt for Men;"__Fabric:__ Heavyweight cotton/polyester fleece [450 g/m2]
Standard fit
Rib cuffs
Patch embroidery on chest
Herringbone back neck tape
DC trim package.";[Main Fabric] 60% Cotton, 40% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03548-KVJ0;253;dcshoes;EDYFT03548;Patch It - Sweatshirt for Men;"__Fabric:__ Heavyweight cotton/polyester fleece [450 g/m2]
Standard fit
Rib cuffs
Patch embroidery on chest
Herringbone back neck tape
DC trim package.";[Main Fabric] 60% Cotton, 40% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03548-SFRH;253;dcshoes;EDYFT03548;Patch It - Sweatshirt for Men;"__Fabric:__ Heavyweight cotton/polyester fleece [450 g/m2]
Standard fit
Rib cuffs
Patch embroidery on chest
Herringbone back neck tape
DC trim package.";[Main Fabric] 60% Cotton, 40% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03549-CQF0;253;dcshoes;EDYFT03549;Patch It - Hoodie for Men;"__Fabric:__ Heavyweight cotton fleece [450 g/m2]
Standard fit
Kangaroo pocket
Herringbone back neck tape
Buttonholes and rounded drawcord with DCSHOECO branded metal tips
DC black label at left chest
Embroidery at left sleeve hem
DC 1994 trim package.";[Main Fabric] 60% Cotton, 40% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03549-GQQ0;253;dcshoes;EDYFT03549;Patch It - Hoodie for Men;"__Fabric:__ Heavyweight cotton fleece [450 g/m2]
Standard fit
Kangaroo pocket
Herringbone back neck tape
Buttonholes and rounded drawcord with DCSHOECO branded metal tips
DC black label at left chest
Embroidery at left sleeve hem
DC 1994 trim package.";[Main Fabric] 60% Cotton, 40% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03549-KVJ0;253;dcshoes;EDYFT03549;Patch It - Hoodie for Men;"__Fabric:__ Heavyweight cotton fleece [450 g/m2]
Standard fit
Kangaroo pocket
Herringbone back neck tape
Buttonholes and rounded drawcord with DCSHOECO branded metal tips
DC black label at left chest
Embroidery at left sleeve hem
DC 1994 trim package.";[Main Fabric] 60% Cotton, 40% Polyester;Men;Apparel;Outer Layer;Fleece Top;C/O;false;;
EDYFT03549-SFRH;253;dcshoes;EDYFT03549;Patch It - Hoodie for Men;"__Fabric:__ Heavyweight cotton fleece [450 g/m2]
Standard fit
Kangaroo pocket
Herringbone back neck tape
Buttonholes and rounded drawcord with DCSHOECO branded metal tips
DC black label at left chest
Embroidery at left sleeve hem
DC 1994 trim package.";[Main Fabric] 60% Cotton, 40% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03552-KVJ0;253;dcshoes;EDYFT03552;Vault - Zip Polar Fleece for Men;"__Fabric:__ Polar fleece with Recycled Polyester blend
Standard fit
Hand pockets at side seam with binding
Binding at collar, bottom, and cuffs
Storm inside flap at main zipper
DC rubber patch at left chest.";[Main Fabric] 55% Recycled Polyester, 45% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03552-TFL0;253;dcshoes;EDYFT03552;Vault - Zip Polar Fleece for Men;"__Fabric:__ Polar fleece with Recycled Polyester blend
Standard fit
Hand pockets at side seam with binding
Binding at collar, bottom, and cuffs
Storm inside flap at main zipper
DC rubber patch at left chest.";[Main Fabric] 55% Recycled Polyester, 45% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03553-KVJ0;253;dcshoes;EDYFT03553;Dive In - Full Zip Hoodie for Men;"__Fabric:__ Scuba fleece [450 g/m2]
Drop shoulder boxy fit
Kangaroo pocket
Herringbone back neck tape
DC rubber patch at left chest.";[Main Fabric] 57% Cotton, 38% Polyester, 5% Elastane;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03555-GTP0;253;dcshoes;EDYFT03555;Maestro - 1/4 Zip Fleece for Men;"__Fabric:__ Cotton/polyester [330 g/m2]
Standard fit
Contrasted panel at body and sleeve
Herringbone back neck tape
DC rubber patch at centre chest.";[Main Fabric] 80% Cotton, 20% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03556-BRQ0;253;dcshoes;EDYFT03556;Notes - Hoodie for Men;"__Fabric:__ Cotton [340 g/m2]
Standard fit
Herringbone back neck tape
Buttonholes and rounded drawcord with DCSHOECO branded metal tips
Woven label at left chest.";[Main Fabric] 100% Cotton;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03556-TFL0;253;dcshoes;EDYFT03556;Notes - Hoodie for Men;"__Fabric:__ Cotton [340 g/m2]
Standard fit
Herringbone back neck tape
Buttonholes and rounded drawcord with DCSHOECO branded metal tips
Woven label at left chest.";[Main Fabric] 100% Cotton;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03557-KVJ0;253;dcshoes;EDYFT03557;DC Omega - Hoodie for Men;"__Fabric:__ Cotton/polyester fleece [330 g/m2]
Standard fit
Kangaroo pocket
Herringbone back neck tape
Buttonholes and rounded drawcord with DCSHOECO branded metal tips
Print at centre chest
Large print at back.";[Main Fabric] 80% Cotton, 20% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
EDYFT03558-KVJ0;253;dcshoes;EDYFT03558;Planted - Full Zip Hoodie for Men;"__Fabric:__ Heavyweight cotton fleece [450 g/m2]
Crop fit
Kangaroo pocket
Herringbone back neck tape
Large applique at chest.";[Main Fabric] 60% Cotton, 40% Polyester;Men;Apparel;Outer Layer;Fleece Top;NEW;false;;
ADYJK03194-BSW0;253;dcshoes;ADYJK03194;Cantera Puffer - Jackets for Men;"__Fabric:__ Nylon ripstop
__Fit:__ Boxy
__Hood:__ 3-piece attached hood
__Lining:__ Polyester taffeta with polyester fill
__Pockets:__ Exposed zipper hand pockets
__Closure:__#8 Vislon full zip centre front
Hidden ribbed cuffs
Wide seam allowance
Toggle and bungee at bottom hem
DC silicone triangle patch at sleeve
DC trim package.";[Main Fabric] 100% Nylon;Men;Apparel;Outer Layer;Jackets;NEW;false;;
ADYJK03194-KVJ0;253;dcshoes;ADYJK03194;Cantera Puffer - Jackets for Men;"__Fabric:__ Nylon ripstop
__Fit:__ Boxy
__Hood:__ 3-piece attached hood
__Lining:__ Polyester taffeta with polyester fill
__Pockets:__ Exposed zipper hand pockets
__Closure:__#8 Vislon full zip centre front
Hidden ribbed cuffs
Wide seam allowance
Toggle and bungee at bottom hem
DC silicone triangle patch at sleeve
DC trim package.";[Main Fabric] 100% Nylon;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03262-BRQ0;253;dcshoes;EDYJK03262;Juryfield - Padded Jacket for Men;"__Fabric:__ Cotton/recycled cotton canvas [410 g/m2]
Standard fit
Two front welt pockets at chest and two large pockets at the bottom
DC leather patch on chest
DC trim package.";[Main Fabric] 70% Cotton, 30% Recycled Cotton;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03262-CPD0;253;dcshoes;EDYJK03262;Juryfield - Padded Jacket for Men;"__Fabric:__ Cotton/recycled cotton canvas [410 g/m2]
Standard fit
Two front welt pockets at chest and two large pockets at the bottom
DC leather patch on chest
DC trim package.";[Main Fabric] 70% Cotton, 30% Recycled Cotton;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03263-BRQ0;253;dcshoes;EDYJK03263;Framed - Workwear Jacket for Men;"__Fabric:__ Cotton/recycled cotton canvas
Cotton flanel lining
Standard fit
#5 Reverse Nylon Coil zipper closure at centre front
Two front welt pockets
DC leather patch on chest
DC trim package.";[Main Fabric] 70% Cotton, 30% Recycled Cotton;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03263-CPD0;253;dcshoes;EDYJK03263;Framed - Workwear Jacket for Men;"__Fabric:__ Cotton/recycled cotton canvas
Cotton flanel lining
Standard fit
#5 Reverse Nylon Coil zipper closure at centre front
Two front welt pockets
DC leather patch on chest
DC trim package.";[Main Fabric] 70% Cotton, 30% Recycled Cotton;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03264-CPD0;253;dcshoes;EDYJK03264;Keyless - Workwear Jacket for Men;"__Fabric:__ Cotton/recycled cotton canvas
Cotton flanel lining
Standard fit
#5 Reverse Nylon Coil zipper closure at centre front
Two front welt pockets and two chest pockets
DC leather patch on chest
DC trim package.";[Main Fabric] 70% Cotton, 30% Recycled Cotton;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03265-KVJ0;253;dcshoes;EDYJK03265;Rover Puffer - Vest With Zip Opening for Men;"__Fabric:__ Nylon Elastane Plain Weave
Polyester lining with heavy padding
Standard fit
Plastic moulded zipper closure at centre front
DC trim package.";[Main Fabric] 90% Nylon, 10% Elastane;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03266-BSW0;253;dcshoes;EDYJK03266;Substitute Bomber - Jacket With Snap Closure for Men;"__Fabric:__ Nylon shell
Polyester lining with padding
Standard fit
Metal snap closure
Large applique at chest
DC trim package.";[Main Fabric] 100% Recycled Nylon;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03266-KVJ0;253;dcshoes;EDYJK03266;Substitute Bomber - Jacket With Snap Closure for Men;"__Fabric:__ Nylon shell
Polyester lining with padding
Standard fit
Metal snap closure
Large applique at chest
DC trim package.";[Main Fabric] 100% Recycled Nylon;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03267-KVJ0;253;dcshoes;EDYJK03267;Label - Beanie for Boys;"__Fabric:__ Recycled Polylana® yarn
Cuffed edge
Rib knit design
Embossed silicone patch on cuff";[Main Fabric] 60% Recycled Polyester, 40% Acrylic;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03268-KVJ0;253;dcshoes;EDYJK03268;Navigator Padded - Hooded Jacket for Men;"__Fabric:__ Recycled Polyester Cotton blend fabric
Recycled polyester padded lining
Standard fit
Reverse Nylon Coil zipper closure at centre front
Elasticated cuff & bottom hem
Two front welt pockets
Interior chest welt pocket
Drawcords at hood
DC embroidered star logo on chest
DC trim package.";[Main Fabric] 60% Recycled Polyester, 40% Cotton;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03268-NQV0;253;dcshoes;EDYJK03268;Navigator Padded - Hooded Jacket for Men;"__Fabric:__ Recycled Polyester Cotton blend fabric
Recycled polyester padded lining
Standard fit
Reverse Nylon Coil zipper closure at centre front
Elasticated cuff & bottom hem
Two front welt pockets
Interior chest welt pocket
Drawcords at hood
DC embroidered star logo on chest
DC trim package.";[Main Fabric] 60% Recycled Polyester, 40% Cotton;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03269-GTP0;253;dcshoes;EDYJK03269;Brewberg - Parka Jacket for Men;"__Fabric:__ Nylon elastane fabric
Regular fit
Full polyester quilted lining with heavy weight fill
Pockets at waist
Zip pockets at chest
Interior pocket with zipper closure
Vislon zip and snaps at front
Bungee cord at hood
Rib at cuffs
DC trim package.";[Main Fabric] 90% Nylon, 10% Elastane;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03269-KVJ0;253;dcshoes;EDYJK03269;Brewberg - Parka Jacket for Men;"__Fabric:__ Nylon elastane fabric
Regular fit
Full polyester quilted lining with heavy weight fill
Pockets at waist
Zip pockets at chest
Interior pocket with zipper closure
Vislon zip and snaps at front
Bungee cord at hood
Rib at cuffs
DC trim package.";[Main Fabric] 90% Nylon, 10% Elastane;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYJK03270-KVJ0;253;dcshoes;EDYJK03270;Ghost Bomber - Bomber Jacket for Men;"__Fabric:__ Faux leather fabric
Zip front
Hand pockets
Elasticated bottom, collar and sleeves";[Main Fabric] 100% Polyurethane;Men;Apparel;Outer Layer;Jackets;NEW;false;;
EDYSF03249-GQQ0;253;dcshoes;EDYSF03249;Laugh Stack - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol and puff print centered on front chest and back
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03249-KVJ0;253;dcshoes;EDYSF03249;Laugh Stack - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol and puff print centered on front chest and back
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03250-KVJ0;253;dcshoes;EDYSF03250;DC Handy Cam - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Digital print centered on front chest and back
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03251-KVJ0;253;dcshoes;EDYSF03251;Skull Shock - Sweatshirt for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Digital print centered on front chest
Herringbone back neck tape
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03252-BSW0;253;dcshoes;EDYSF03252;DC Star Reflective - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Reflective print on chest
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03252-KVJ0;253;dcshoes;EDYSF03252;DC Star Reflective - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Reflective print on chest
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03252-WBB0;253;dcshoes;EDYSF03252;DC Star Reflective - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Reflective print on chest
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03253-KVJ0;253;dcshoes;EDYSF03253;Burnt Out - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol print centered on front chest and back
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03254-KVJ0;253;dcshoes;EDYSF03254;Hi Rolling - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Discharge print centered on front chest, back, and sleeves
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03254-NQV0;253;dcshoes;EDYSF03254;Hi Rolling - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Discharge print centered on front chest, back, and sleeves
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03256-BSW0;253;dcshoes;EDYSF03256;Fast Bubble - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol print on left chest and back
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03256-KVJ0;253;dcshoes;EDYSF03256;Fast Bubble - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol print on left chest and back
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03257-BSW0;253;dcshoes;EDYSF03257;DC Parts Dep - Zip Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Discharge prints on left chest and back
Herringbone back neck tape
Nylon coil open-end zipper down centre front
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03257-CQF0;253;dcshoes;EDYSF03257;DC Parts Dep - Zip Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Discharge prints on left chest and back
Herringbone back neck tape
Nylon coil open-end zipper down centre front
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03259-GQQ0;253;dcshoes;EDYSF03259;Solid Lefty - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol print off-placement on shoulder
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03259-KVJ0;253;dcshoes;EDYSF03259;Solid Lefty - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol print off-placement on shoulder
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03259-TFL0;253;dcshoes;EDYSF03259;Solid Lefty - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol print off-placement on shoulder
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03260-SFRH;253;dcshoes;EDYSF03260;Manteca Tribute - Sweatshirt for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Plastisol print centered on front chest
Herringbone back neck tape
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03260-WBB0;253;dcshoes;EDYSF03260;Manteca Tribute - Sweatshirt for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Plastisol print centered on front chest
Herringbone back neck tape
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03261-CQF0;253;dcshoes;EDYSF03261;DC Star - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol print centered on front chest
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03261-GTP0;253;dcshoes;EDYSF03261;DC Star - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol print centered on front chest
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
EDYSF03261-KVJ0;253;dcshoes;EDYSF03261;DC Star - Hoodie for Men;"__Fabric:__ Cotton/recycled cotton/polyester French terry [280 g/m2]
Standard fit
Kangaroo pocket
Plastisol print centered on front chest
Herringbone back neck tape
Metal eyelets and flat drawcords with branded tips
DC RE/SOLVE trim package.";[Main Fabric] 55% Cotton, 25% Recycled Cotton, 20% Recycled Polyester;Men;Apparel;Outer Layer;Screen Fleece;NEW;false;;
